,No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
148,149,2013.5,16.4,3780.59,0,24.93293,121.51203,45.1
378,379,2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
149,150,2012.667,34.9,179.4538,8,24.97349,121.54245,39.7
204,205,2013.0,18.0,1414.837,1,24.95182,121.54887,26.6
308,309,2013.417,16.4,289.3248,5,24.98203,121.54348,53.0
54,55,2013.083,16.1,289.3248,5,24.98203,121.54348,51.7
95,96,2012.917,8.0,104.8101,5,24.96674,121.54067,51.8
164,165,2012.833,0.0,185.4296,0,24.9711,121.5317,55.2
237,238,2013.167,13.0,732.8528,0,24.97668,121.52518,39.0
137,138,2013.5,13.6,319.0708,6,24.96495,121.54277,47.4
77,78,2012.833,20.5,2185.128,3,24.96322,121.51237,25.6
158,159,2013.0,11.6,390.5684,5,24.97937,121.54245,39.4
145,146,2012.917,2.1,451.2438,5,24.97563,121.54694,45.5
338,339,2012.917,31.5,258.186,9,24.96867,121.54331,36.3
229,230,2013.583,31.0,1156.412,0,24.9489,121.53095,19.0
11,12,2013.333,6.3,90.45606,9,24.97433,121.5431,58.1
7,8,2013.417,20.3,287.6025,6,24.98042,121.54228,46.7
245,246,2013.417,7.5,639.6198,5,24.97258,121.54814,40.8
32,33,2012.75,37.9,488.5727,1,24.97349,121.53451,34.2
255,256,2013.417,31.5,5512.038,1,24.95095,121.48458,17.4
82,83,2013.083,13.2,150.9347,7,24.96725,121.54252,48.1
363,364,2013.5,32.3,109.9455,10,24.98182,121.54086,48.0
10,11,2013.083,34.8,405.2134,1,24.97349,121.53372,41.4
353,354,2013.5,4.1,2147.376,3,24.96299,121.51284,31.3
341,342,2013.0,13.0,750.0704,2,24.97371,121.54951,37.0
85,86,2012.75,0.0,338.9679,9,24.96853,121.54413,50.8
408,409,2013.417,18.5,2175.744,3,24.9633,121.51243,28.1
291,292,2012.833,3.4,56.47425,7,24.95744,121.53711,54.4
177,178,2013.083,33.0,181.0766,9,24.97697,121.54262,42.0
227,228,2012.917,32.4,265.0609,8,24.98059,121.53986,40.2
290,291,2013.083,37.7,490.3446,0,24.97217,121.53471,37.0
110,111,2013.083,8.1,104.8101,5,24.96674,121.54067,51.6
171,172,2013.083,3.6,383.8624,5,24.98085,121.54391,58.8
122,123,2013.25,31.5,414.9476,4,24.98199,121.54464,32.5
410,411,2012.667,5.6,90.45606,9,24.97433,121.5431,50.0
50,51,2013.417,21.7,512.5487,4,24.974,121.53842,44.2
53,54,2013.083,13.3,492.2313,5,24.96515,121.53737,38.9
395,396,2012.917,21.2,512.5487,4,24.974,121.53842,42.5
